Decade	Provincia	Especie	Volum
2001-2010	Barcelona	A.alba	289.625
2001-2010	Barcelona	A.glutinosa	631.5693125
2001-2010	Barcelona	Altres coniferes	1213.69003125
2001-2010	Barcelona	Altres planifolis	8390.49552307692
2001-2010	Barcelona	B.alba	84.875
2001-2010	Barcelona	C.sativa	2704.57870827778
2001-2010	Barcelona	Eucaliptus sp	697.575
2001-2010	Barcelona	F.sylvatica	5476.014675
2001-2010	Barcelona	Fraxinus sp	113.986625
2001-2010	Barcelona	P.canadiensis	7389.57040625
2001-2010	Barcelona	P.halepensis	48168.5854484375
2001-2010	Barcelona	P.hybrida	1832.103953125
2001-2010	Barcelona	P.menziesii	4035.830421875
2001-2010	Barcelona	P.nigra	34593.4149299265
2001-2010	Barcelona	P.pinaster	2176.156203125
2001-2010	Barcelona	P.pinea	8964.54357349235
2001-2010	Barcelona	P.radiata	5107.36025
2001-2010	Barcelona	P.sylvestris	104055.85058375
2001-2010	Barcelona	P.uncinata	5396.8
2001-2010	Barcelona	Q.faginea	247.416271875
2001-2010	Barcelona	Q.ilex	38748.4442625
2001-2010	Barcelona	Q.pubescens	1532.80785625
2001-2010	Barcelona	Q.suber	106.78125
2001-2010	Barcelona	R.psudoacacia	131.912
2001-2010	Barcelona	Ulmus sp	0.667625
2001-2010	Girona	A.alba	124.05
2001-2010	Girona	A.glutinosa	803.388375
2001-2010	Girona	Altres coniferes	1124.499328125
2001-2010	Girona	Altres planifolis	35237.4649807692
2001-2010	Girona	B.alba	45.345
2001-2010	Girona	C.sativa	10532.9559495833
2001-2010	Girona	Eucaliptus sp	17856.5744875
2001-2010	Girona	F.sylvatica	5952.0787275
2001-2010	Girona	Fraxinus sp	689.8213375
2001-2010	Girona	P.canadiensis	33900.01390625
2001-2010	Girona	P.halepensis	18882.3205875
2001-2010	Girona	P.hybrida	3902.785746875
2001-2010	Girona	P.menziesii	3686.940953125
2001-2010	Girona	P.nigra	2170.21244126471
2001-2010	Girona	P.pinaster	20439.0602828125
2001-2010	Girona	P.pinea	10518.0089264994
2001-2010	Girona	P.radiata	18091.9459709375
